CSI CODE(full Code);Code_Main_Division;Name_Main_Division;Sub_Division1_Code;Sub_Division1_Name;Sub_Division2_Code;Sub_Division2_Name_2;ITEM DESCRIPTION_Code_Item;ITEM DESCRIPTION_Name_Item;UNIT;DAILY OUTPUT;MAN HOURS;EQUIP. HOURS;CREW STRUCTURE COMBINED;Crew_Number1;Crew_Memeber_ Desc.1;Crew_Memeber_ Number2;Crew_Memeber_ Desc.2;Crew_Memeber_ Number3;Crew_Memeber_ Desc.3;Crew_Memeber_ Number4;Crew_Memeber_ Desc.4;Crew_Memeber_ Number5;Crew_Memeber_ Desc.5;Crew_Memeber_ Number6;Crew_Memeber_ Desc.6;Crew_Memeber_ Number7;Crew_Memeber_ Desc.7;Crew_Memeber_ Number8;Crew_Memeber_ Desc.8;Crew_Memeber_ Number9;Crew_Memeber_ Desc.9;Crew_Memeber_ Number10;Crew_Memeber_ Desc.10;Crew_Memeber_ Number11;Crew_Memeber_ Desc.11;Crew_Memeber_ Number12;Crew_Memeber_ Desc.12;Crew_Memeber_ Number13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
020 554-2200;02;SITE WORK;0  ;SUBSURFACE INVESTIGATION & DEMOLITION;020 554;SITE DEMOLITION:;2200;Remove concrete pavement, 200 mm To 600 mm thick, reinforced;CUM;4.880;11.885;3.279;0.250 Labor Foreman 4.00 Building Laborers 1.00 Equip. operator, light 1.00 Equip. operator, heavy 1.00 Air compressor-250CFM-w/4air Tools & Hoses 1.00 Mechanic 1.00 F.E Loader-1.9m3;0.250;Labor Foreman;4.00;Building Laborers;1.00;Equip. operator, light;1.00;Equip. operator, heavy;1.00;Air compressor-250CFM-w/4air Tools & Hoses;1.00;Mechanic;1.00;F.E Loader-1.9m3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
020 554-2500;02;SITE WORK;0  ;SUBSURFACE INVESTIGATION & DEMOLITION;020 554;SITE DEMOLITION:;2500;"Remove curbs pavement, concrete; reinforced";LM;60.000;0.417;0.133;0.125 Labor Foreman 2.00 Building Labors 1.00 Light equip. operator 1.00 Backhoe, loader50HP;0.125;Labor Foreman;2.00;Building Labors;1.00;Light equip. operator;1.00;Backhoe, loader50HP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
020 554-2600;02;SITE WORK;0  ;SUBSURFACE INVESTIGATION & DEMOLITION;020 554;SITE DEMOLITION:;2600;Remove curbs, granite;LM;100.000;0.250;0.080;0.125 Labor Foreman 2.00 Building Labors 1.00 Light equip. operator 1.00 Backhoe, loader50HP;0.125;Labor Foreman;2.00;Building Labors;1.00;Light equip. operator;1.00;Backhoe, loader50HP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
020 554-2960;02;SITE WORK;0  ;SUBSURFACE INVESTIGATION & DEMOLITION;020 554;SITE DEMOLITION:;2960;Pipe removal, concrete, no excavation, 600 mm;LM;30.000;0.833;0.267;0.125 Labor Foreman 2.00 Building Labors 1.00 Light equip. operator 1.00 Backhoe, loader50HP;0.125;Labor Foreman;2.00;Building Labors;1.00;Light equip. operator;1.00;Backhoe, loader50HP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
020 554-3500;02;SITE WORK;0  ;SUBSURFACE INVESTIGATION & DEMOLITION;020 554;SITE DEMOLITION:;3500;Railroad track removal, ties & track;LM;12.000;2.083;0.667;0.125 Labor Foreman 2.00 Building Labors 1.00 Light equip. operator 1.00 Backhoe, loader50HP;0.125;Labor Foreman;2.00;Building Labors;1.00;Light equip. operator;1.00;Backhoe, loader50HP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
020 554-5500;02;SITE WORK;0  ;SUBSURFACE INVESTIGATION & DEMOLITION;020 554;SITE DEMOLITION:;5500;For congested sites or small quantities, removal add to above items;LM;1.800;13.889;4.444;0.125 Labor Foreman 2.00 Building Labors 1.00 Light equip. operator 1.00 Backhoe, loader50HP;0.125;Labor Foreman;2.00;Building Labors;1.00;Light equip. operator;1.00;Backhoe, loader50HP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
020 554-5600;02;SITE WORK;0  ;SUBSURFACE INVESTIGATION & DEMOLITION;020 554;SITE DEMOLITION:;5600;Disposal of removed material 32 KM round trip;CUM;28.000;0.321;0.321;0.125 Equip.operator 1.00 Truck Driver 0.125 Shovel,1.7M3 1.00 Dump Truck,10ton;0.125;Equip.operator;1.00;Truck Driver;0.125;Shovel,1.7M3;1.00;Dump Truck,10ton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
020 604-0012;02;SITE WORK;0  ;SUBSURFACE INVESTIGATION & DEMOLITION;020 604;BUILDING DEMOLITION:;0012;Demolition large urban steel buildings including 32 KM haul;CUM;525.000;0.110;0.061;0.25 Labor Foreman 3.00 Building Laborers 2.00 Equipment Operator 2.00 Truck Drivers 1.00 Hydraulic Crane-23ton 1.00 F.E Loader,T.M-1.91CUM 2.00 Dump Trucks-10ton;0.25;Labor Foreman;3.00;Building Laborers;2.00;Equipment Operator;2.00;Truck Drivers;1.00;Hydraulic Crane-23ton;1.00;F.E Loader,T.M-1.91CUM;2.00;Dump Trucks-10ton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
020 604-0050;02;SITE WORK;0  ;SUBSURFACE INVESTIGATION & DEMOLITION;020 604;BUILDING DEMOLITION:;0050;Demolition large urban concrete buildings including 32 KM haul;CUM;375.000;0.155;0.085;0.25 Labor Foreman 3.00 Building Laborers 2.00 Equipment Operator 2.00 Truck Drivers 1.00 Hydraulic Crane-23ton 1.00 F.E Loader,T.M-1.91CUM 2.00 Dump Trucks-10ton;0.25;Labor Foreman;3.00;Building Laborers;2.00;Equipment Operator;2.00;Truck Drivers;1.00;Hydraulic Crane-23ton;1.00;F.E Loader,T.M-1.91CUM;2.00;Dump Trucks-10ton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
020 604-0500;02;SITE WORK;0  ;SUBSURFACE INVESTIGATION & DEMOLITION;020 604;BUILDING DEMOLITION:;0500;small buildings, no salvage included - steel bldg.;CUM;420.000;0.138;0.076;0.25 Labor Foreman 3.00 Building Laborers 2.00 Equipment Operator 2.00 Truck Drivers 1.00 Hydraulic Crane-23ton 1.00 F.E Loader,T.M-1.91CUM 2.00 Dump Trucks-10ton;0.25;Labor Foreman;3.00;Building Laborers;2.00;Equipment Operator;2.00;Truck Drivers;1.00;Hydraulic Crane-23ton;1.00;F.E Loader,T.M-1.91CUM;2.00;Dump Trucks-10ton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
020 604-0600;02;SITE WORK;0  ;SUBSURFACE INVESTIGATION & DEMOLITION;020 604;BUILDING DEMOLITION:;0600;small buildings, no salvage included concrete building;CUM;320.000;0.181;0.100;0.25 Labor Foreman 3.00 Building Laborers 2.00 Equipment Operator 2.00 Truck Drivers 1.00 Hydraulic Crane-23ton 1.00 F.E Loader,T.M-1.91CUM 2.00 Dump Trucks-10ton;0.25;Labor Foreman;3.00;Building Laborers;2.00;Equipment Operator;2.00;Truck Drivers;1.00;Hydraulic Crane-23ton;1.00;F.E Loader,T.M-1.91CUM;2.00;Dump Trucks-10ton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
